9412110 PortSanLuis	0.512 0.020 0.071 0.014	-0.200 0.188
9413450 Monterey	0.499 0.025 0.068 0.018	-0.011 0.255
9414290 SanFrancisco	0.460 0.020 0.096 0.014	-0.118 0.119
9414750 Alameda	0.470 0.025 0.098 0.018	-0.064 0.151
9415020 PointReyes	0.515 0.034 0.093 0.025	0.024 0.265
9419750 CrescentCity	0.660 0.032 0.129 0.022	-0.167 0.133
9432780 Charleston	0.698 0.049 0.140 0.035	-0.170 0.253
9435380 SouthBeach	0.753 0.046 0.139 0.033	-0.135 0.218
9439040 Astoria	0.755 0.031 0.128 0.022	-0.135 0.169
9440910 TokePoint	0.973 0.074 0.209 0.054	-0.094 0.262
9443090 NeahBay	0.835 0.039 0.160 0.028	-0.285 0.146
9444090 PortAngeles	0.668 0.051 0.141 0.035	-0.269 0.203
9444900 PortTownsend	0.631 0.049 0.139 0.036	-0.298 0.250
9447130 Seattle	0.649 0.023 0.110 0.016	-0.214 0.132
9449424 CherryPoint	0.689 0.045 0.130 0.031	-0.154 0.193
9449880 FridayHarbor	0.650 0.033 0.137 0.023	-0.277 0.123
9450460 Ketchikan	1.275 0.036 0.162 0.024	-0.263 0.096
9451600 Sitka	0.978 0.030 0.119 0.021	-0.117 0.139
9452210 Juneau	1.366 0.037 0.147 0.025	-0.106 0.117
9452400 Skagway	1.405 0.040 0.150 0.029	-0.118 0.173
9453220 Yakutat	1.041 0.038 0.147 0.026	-0.289 0.131
9454050 Cordova	1.088 0.053 0.167 0.038	-0.295 0.189
9454240 Valdez	1.086 0.051 0.141 0.036	-0.251 0.226
9455090 Seward	1.052 0.043 0.130 0.030	-0.125 0.191
9455500 Seldovia	1.494 0.066 0.213 0.045	-0.245 0.129
9455760 Nikiski	1.438 0.074 0.177 0.054	-0.455 0.234
9455920 Anchorage	1.425 0.041 0.122 0.029	-0.312 0.198
9457292 KodiakIsland	0.864 0.045 0.136 0.031	-0.165 0.181
9459450 SandPoint	0.858 0.053 0.152 0.037	-0.224 0.182
9461380 AdakIsland	0.587 0.028 0.105 0.020	-0.234 0.166
9462620 Unalaska	0.558 0.027 0.109 0.018	-0.285 0.092
9751639 CharlotteAmalie	0.175 0.019 0.052 0.016	0.343 0.248
9755371 SanJuan	0.204 0.016 0.053 0.012	0.097 0.133
9759110 MagueyesIsland	0.152 0.012 0.041 0.010	0.291 0.228
