Location,TCFDCategoryName,TCFDSubCatName,RiskFactorName,ScenarioID,RiskYear,ValueAtRisk
Boise,Physical,Chronic,Temperature extremes,1,2019,1.2
Boise,Physical,Chronic,Temperature extremes,1,2020,1.3
Boise,Physical,Chronic,Temperature extremes,1,2021,1.5
Boise,Physical,Chronic,Temperature extremes,1,2022,1.5
Boise,Physical,Chronic,Temperature extremes,1,2023,1.5
Boise,Physical,Chronic,Temperature extremes,1,2024,1.7
Boise,Physical,Chronic,Temperature extremes,1,2025,1.7
Boise,Physical,Chronic,Temperature extremes,1,2026,1.7
Boise,Physical,Chronic,Temperature extremes,1,2027,1.7
Boise,Physical,Chronic,Temperature extremes,1,2028,2
Boise,Physical,Chronic,Temperature extremes,1,2029,2
Boise,Physical,Chronic,Temperature extremes,1,2030,2
Boise,Physical,Chronic,Temperature extremes,1,2031,2
Boise,Physical,Chronic,Temperature extremes,1,2032,2.2
Boise,Physical,Chronic,Temperature extremes,2,2018,0.6
Boise,Physical,Chronic,Temperature extremes,2,2019,0.6
Boise,Physical,Chronic,Temperature extremes,2,2020,0.65
Boise,Physical,Chronic,Temperature extremes,2,2021,0.75
Boise,Physical,Chronic,Temperature extremes,2,2022,0.75
Boise,Physical,Chronic,Temperature extremes,2,2023,0.75
Boise,Physical,Chronic,Temperature extremes,2,2024,0.85
Boise,Physical,Chronic,Temperature extremes,2,2025,0.85
Boise,Physical,Chronic,Temperature extremes,2,2026,0.85
Boise,Physical,Chronic,Temperature extremes,2,2027,0.85
Boise,Physical,Chronic,Temperature extremes,2,2028,1
Boise,Physical,Chronic,Temperature extremes,2,2029,1
Boise,Physical,Chronic,Temperature extremes,2,2030,1
Boise,Physical,Chronic,Temperature extremes,2,2031,1
Boise,Physical,Chronic,Temperature extremes,2,2032,1.1
Boise,Physical,Chronic,Coastal flooding,1,2018,0.48
Boise,Physical,Chronic,Coastal flooding,1,2019,0.48
Boise,Physical,Chronic,Coastal flooding,1,2020,0.52
Boise,Physical,Chronic,Coastal flooding,1,2021,0.6
Boise,Physical,Chronic,Coastal flooding,1,2022,0.6
Boise,Physical,Chronic,Coastal flooding,1,2023,0.6
Boise,Physical,Chronic,Coastal flooding,1,2024,0.68
Boise,Physical,Chronic,Coastal flooding,1,2025,0.68
Boise,Physical,Chronic,Coastal flooding,1,2026,0.68
Boise,Physical,Chronic,Coastal flooding,1,2027,0.68
Boise,Physical,Chronic,Coastal flooding,1,2028,0.8
Boise,Physical,Chronic,Coastal flooding,1,2029,0.8
Boise,Physical,Chronic,Coastal flooding,1,2030,0.8
Boise,Physical,Chronic,Coastal flooding,1,2031,0.8
Boise,Physical,Chronic,Coastal flooding,1,2032,0.88
Boise,Physical,Chronic,Coastal flooding,2,2018,0.24
Boise,Physical,Chronic,Coastal flooding,2,2019,0.24
Boise,Physical,Chronic,Coastal flooding,2,2020,0.26
Boise,Physical,Chronic,Coastal flooding,2,2021,0.3
Boise,Physical,Chronic,Coastal flooding,2,2022,0.3
Boise,Physical,Chronic,Coastal flooding,2,2023,0.3
Boise,Physical,Chronic,Coastal flooding,2,2024,0.34
Boise,Physical,Chronic,Coastal flooding,2,2025,0.34
Boise,Physical,Chronic,Coastal flooding,2,2026,0.34
Boise,Physical,Chronic,Coastal flooding,2,2027,0.34
Boise,Physical,Chronic,Coastal flooding,2,2028,0.4
Boise,Physical,Chronic,Coastal flooding,2,2029,0.4
Boise,Physical,Chronic,Coastal flooding,2,2030,0.4
Boise,Physical,Chronic,Coastal flooding,2,2031,0.4
Boise,Physical,Chronic,Coastal flooding,2,2032,0.44
Boise,Physical,Chronic,Drought,1,2018,0.24
Boise,Physical,Chronic,Drought,1,2019,0.24
Boise,Physical,Chronic,Drought,1,2020,0.26
Boise,Physical,Chronic,Drought,1,2021,0.3
Boise,Physical,Chronic,Drought,1,2022,0.3
Boise,Physical,Chronic,Drought,1,2023,0.3
Boise,Physical,Chronic,Drought,1,2024,0.34
Boise,Physical,Chronic,Drought,1,2025,0.34
Boise,Physical,Chronic,Drought,1,2026,0.34
Boise,Physical,Chronic,Drought,1,2027,0.34
Boise,Physical,Chronic,Drought,1,2028,0.4
Boise,Physical,Chronic,Drought,1,2029,0.4
Boise,Physical,Chronic,Drought,1,2030,0.4
Boise,Physical,Chronic,Drought,1,2031,0.4
Boise,Physical,Chronic,Drought,1,2032,0.44
Boise,Physical,Chronic,Drought,2,2018,0.12
Boise,Physical,Chronic,Drought,2,2019,0.12
Boise,Physical,Chronic,Drought,2,2020,0.13
Boise,Physical,Chronic,Drought,2,2021,0.15
Boise,Physical,Chronic,Drought,2,2022,0.15
Boise,Physical,Chronic,Drought,2,2023,0.15
Boise,Physical,Chronic,Drought,2,2024,0.17
Boise,Physical,Chronic,Drought,2,2025,0.17
Boise,Physical,Chronic,Drought,2,2026,0.17
Boise,Physical,Chronic,Drought,2,2027,0.17
Boise,Physical,Chronic,Drought,2,2028,0.2
Boise,Physical,Chronic,Drought,2,2029,0.2
Boise,Physical,Chronic,Drought,2,2030,0.2
Boise,Physical,Chronic,Drought,2,2031,0.2
Boise,Physical,Chronic,Drought,2,2032,0.22
Manassas,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2018,1.2
Manassas,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2019,1.2
Manassas,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2020,1.3
Manassas,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2021,1.5
Manassas,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2022,1.5
Manassas,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2023,1.5
Manassas,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2024,1.7
Manassas,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2025,1.7
Manassas,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2026,1.7
Manassas,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2027,1.7
Manassas,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2028,2
Manassas,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2029,2
Manassas,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2030,2
Manassas,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2031,2
Manassas,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2032,2.2
Manassas,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2018,0.6
Manassas,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2019,0.6
Manassas,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2020,0.65
Manassas,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2021,0.75
Manassas,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2022,0.75
Manassas,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2023,0.75
Manassas,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2024,0.85
Manassas,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2025,0.85
Manassas,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2026,0.85
Manassas,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2027,0.85
Manassas,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2028,1
Manassas,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2029,1
Manassas,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2030,1
Manassas,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2031,1
Manassas,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2032,1.1
Manassas,Transition,Policy & Legal,Exposure to litigation,1,2018,0.48
Manassas,Transition,Policy & Legal,Exposure to litigation,1,2019,0.48
Manassas,Transition,Policy & Legal,Exposure to litigation,1,2020,0.52
Manassas,Transition,Policy & Legal,Exposure to litigation,1,2021,0.6
Manassas,Transition,Policy & Legal,Exposure to litigation,1,2022,0.6
Manassas,Transition,Policy & Legal,Exposure to litigation,1,2023,0.6
Manassas,Transition,Policy & Legal,Exposure to litigation,1,2024,0.68
Manassas,Transition,Policy & Legal,Exposure to litigation,1,2025,0.68
Manassas,Transition,Policy & Legal,Exposure to litigation,1,2026,0.68
Manassas,Transition,Policy & Legal,Exposure to litigation,1,2027,0.68
Manassas,Transition,Policy & Legal,Exposure to litigation,1,2028,0.8
Manassas,Transition,Policy & Legal,Exposure to litigation,1,2029,0.8
Manassas,Transition,Policy & Legal,Exposure to litigation,1,2030,0.8
Manassas,Transition,Policy & Legal,Exposure to litigation,1,2031,0.8
Manassas,Transition,Policy & Legal,Exposure to litigation,1,2032,0.88
Manassas,Transition,Policy & Legal,Exposure to litigation,2,2018,0.24
Manassas,Transition,Policy & Legal,Exposure to litigation,2,2019,0.24
Manassas,Transition,Policy & Legal,Exposure to litigation,2,2020,0.26
Manassas,Transition,Policy & Legal,Exposure to litigation,2,2021,0.3
Manassas,Transition,Policy & Legal,Exposure to litigation,2,2022,0.3
Manassas,Transition,Policy & Legal,Exposure to litigation,2,2023,0.3
Manassas,Transition,Policy & Legal,Exposure to litigation,2,2024,0.34
Manassas,Transition,Policy & Legal,Exposure to litigation,2,2025,0.34
Manassas,Transition,Policy & Legal,Exposure to litigation,2,2026,0.34
Manassas,Transition,Policy & Legal,Exposure to litigation,2,2027,0.34
Manassas,Transition,Policy & Legal,Exposure to litigation,2,2028,0.4
Manassas,Transition,Policy & Legal,Exposure to litigation,2,2029,0.4
Manassas,Transition,Policy & Legal,Exposure to litigation,2,2030,0.4
Manassas,Transition,Policy & Legal,Exposure to litigation,2,2031,0.4
Manassas,Transition,Policy & Legal,Exposure to litigation,2,2032,0.44
Manassas,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,1,2018,0.24
Manassas,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,1,2019,0.24
Manassas,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,1,2020,0.26
Manassas,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,1,2021,0.3
Manassas,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,1,2022,0.3
Manassas,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,1,2023,0.3
Manassas,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,1,2024,0.34
Manassas,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,1,2025,0.34
Manassas,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,1,2026,0.34
Manassas,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,1,2027,0.34
Manassas,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,1,2028,0.4
Manassas,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,1,2029,0.4
Manassas,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,1,2030,0.4
Manassas,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,1,2031,0.4
Manassas,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,1,2032,0.44
Manassas,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,2,2018,0.12
Manassas,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,2,2019,0.12
Manassas,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,2,2020,0.13
Manassas,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,2,2021,0.15
Manassas,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,2,2022,0.15
Manassas,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,2,2023,0.15
Manassas,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,2,2024,0.17
Manassas,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,2,2025,0.17
Manassas,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,2,2026,0.17
Manassas,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,2,2027,0.17
Manassas,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,2,2028,0.2
Manassas,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,2,2029,0.2
Manassas,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,2,2030,0.2
Manassas,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,2,2031,0.2
Manassas,Transition,Reputation,Increased stakeholder concern or negative stakeholder feedback,2,2032,0.22
Manassas,Physical,Chronic,Temperature extremes,1,2018,1.2
Manassas,Physical,Chronic,Temperature extremes,1,2019,1.2
Manassas,Physical,Chronic,Temperature extremes,1,2020,1.3
Manassas,Physical,Chronic,Temperature extremes,1,2021,1.5
Manassas,Physical,Chronic,Temperature extremes,1,2022,1.5
Manassas,Physical,Chronic,Temperature extremes,1,2023,1.5
Manassas,Physical,Chronic,Temperature extremes,1,2024,1.7
Manassas,Physical,Chronic,Temperature extremes,1,2025,1.7
Manassas,Physical,Chronic,Temperature extremes,1,2026,1.7
Manassas,Physical,Chronic,Temperature extremes,1,2027,1.7
Manassas,Physical,Chronic,Temperature extremes,1,2028,2
Manassas,Physical,Chronic,Temperature extremes,1,2029,2
Manassas,Physical,Chronic,Temperature extremes,1,2030,2
Manassas,Physical,Chronic,Temperature extremes,1,2031,2
Manassas,Physical,Chronic,Temperature extremes,1,2032,2.2
Manassas,Physical,Chronic,Temperature extremes,2,2018,0.6
Manassas,Physical,Chronic,Temperature extremes,2,2019,0.6
Manassas,Physical,Chronic,Temperature extremes,2,2020,0.65
Manassas,Physical,Chronic,Temperature extremes,2,2021,0.75
Manassas,Physical,Chronic,Temperature extremes,2,2022,0.75
Manassas,Physical,Chronic,Temperature extremes,2,2023,0.75
Manassas,Physical,Chronic,Temperature extremes,2,2024,0.85
Manassas,Physical,Chronic,Temperature extremes,2,2025,0.85
Manassas,Physical,Chronic,Temperature extremes,2,2026,0.85
Manassas,Physical,Chronic,Temperature extremes,2,2027,0.85
Manassas,Physical,Chronic,Temperature extremes,2,2028,1
Manassas,Physical,Chronic,Temperature extremes,2,2029,1
Manassas,Physical,Chronic,Temperature extremes,2,2030,1
Manassas,Physical,Chronic,Temperature extremes,2,2031,1
Manassas,Physical,Chronic,Temperature extremes,2,2032,1.1
Manassas,Physical,Chronic,Coastal flooding,1,2018,0.48
Manassas,Physical,Chronic,Coastal flooding,1,2019,0.48
Manassas,Physical,Chronic,Coastal flooding,1,2020,0.52
Manassas,Physical,Chronic,Coastal flooding,1,2021,0.6
Manassas,Physical,Chronic,Coastal flooding,1,2022,0.6
Manassas,Physical,Chronic,Coastal flooding,1,2023,0.6
Manassas,Physical,Chronic,Coastal flooding,1,2024,0.68
Manassas,Physical,Chronic,Coastal flooding,1,2025,0.68
Manassas,Physical,Chronic,Coastal flooding,1,2026,0.68
Manassas,Physical,Chronic,Coastal flooding,1,2027,0.68
Manassas,Physical,Chronic,Coastal flooding,1,2028,0.8
Manassas,Physical,Chronic,Coastal flooding,1,2029,0.8
Manassas,Physical,Chronic,Coastal flooding,1,2030,0.8
Manassas,Physical,Chronic,Coastal flooding,1,2031,0.8
Manassas,Physical,Chronic,Coastal flooding,1,2032,0.88
Manassas,Physical,Chronic,Coastal flooding,2,2018,0.24
Manassas,Physical,Chronic,Coastal flooding,2,2019,0.24
Manassas,Physical,Chronic,Coastal flooding,2,2020,0.26
Manassas,Physical,Chronic,Coastal flooding,2,2021,0.3
Manassas,Physical,Chronic,Coastal flooding,2,2022,0.3
Manassas,Physical,Chronic,Coastal flooding,2,2023,0.3
Manassas,Physical,Chronic,Coastal flooding,2,2024,0.34
Manassas,Physical,Chronic,Coastal flooding,2,2025,0.34
Manassas,Physical,Chronic,Coastal flooding,2,2026,0.34
Manassas,Physical,Chronic,Coastal flooding,2,2027,0.34
Manassas,Physical,Chronic,Coastal flooding,2,2028,0.4
Manassas,Physical,Chronic,Coastal flooding,2,2029,0.4
Manassas,Physical,Chronic,Coastal flooding,2,2030,0.4
Manassas,Physical,Chronic,Coastal flooding,2,2031,0.4
Manassas,Physical,Chronic,Coastal flooding,2,2032,0.44
Manassas,Physical,Chronic,Drought,1,2018,0.24
Manassas,Physical,Chronic,Drought,1,2019,0.24
Manassas,Physical,Chronic,Drought,1,2020,0.26
Manassas,Physical,Chronic,Drought,1,2021,0.3
Manassas,Physical,Chronic,Drought,1,2022,0.3
Manassas,Physical,Chronic,Drought,1,2023,0.3
Manassas,Physical,Chronic,Drought,1,2024,0.34
Manassas,Physical,Chronic,Drought,1,2025,0.34
Manassas,Physical,Chronic,Drought,1,2026,0.34
Manassas,Physical,Chronic,Drought,1,2027,0.34
Manassas,Physical,Chronic,Drought,1,2028,0.4
Manassas,Physical,Chronic,Drought,1,2029,0.4
Manassas,Physical,Chronic,Drought,1,2030,0.4
Manassas,Physical,Chronic,Drought,1,2031,0.4
Manassas,Physical,Chronic,Drought,1,2032,0.44
Manassas,Physical,Chronic,Drought,2,2018,0.12
Manassas,Physical,Chronic,Drought,2,2019,0.12
Manassas,Physical,Chronic,Drought,2,2020,0.13
Manassas,Physical,Chronic,Drought,2,2021,0.15
Manassas,Physical,Chronic,Drought,2,2022,0.15
Manassas,Physical,Chronic,Drought,2,2023,0.15
Manassas,Physical,Chronic,Drought,2,2024,0.17
Manassas,Physical,Chronic,Drought,2,2025,0.17
Manassas,Physical,Chronic,Drought,2,2026,0.17
Manassas,Physical,Chronic,Drought,2,2027,0.17
Manassas,Physical,Chronic,Drought,2,2028,0.2
Manassas,Physical,Chronic,Drought,2,2029,0.2
Manassas,Physical,Chronic,Drought,2,2030,0.2
Manassas,Physical,Chronic,Drought,2,2031,0.2
Manassas,Physical,Chronic,Drought,2,2032,0.22
Singapore_Hqs,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2018,1.2
Singapore_Hqs,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2019,1.2
Singapore_Hqs,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2020,1.3
Singapore_Hqs,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2021,1.5
Singapore_Hqs,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2022,1.5
Singapore_Hqs,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2023,1.5
Singapore_Hqs,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2024,1.7
Singapore_Hqs,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2025,1.7
Singapore_Hqs,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2026,1.7
Singapore_Hqs,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2027,1.7
Singapore_Hqs,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2028,2
Singapore_Hqs,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2029,2
Singapore_Hqs,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2030,2
Singapore_Hqs,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2031,2
Singapore_Hqs,Transition,Policy & Legal,Increased pricing of GHG emissions,1,2032,2.2
Singapore_Hqs,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2018,0.6
Singapore_Hqs,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2019,0.6
Singapore_Hqs,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2020,0.65
Singapore_Hqs,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2021,0.75
Singapore_Hqs,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2022,0.75
Singapore_Hqs,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2023,0.75
Singapore_Hqs,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2024,0.85
Singapore_Hqs,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2025,0.85
Singapore_Hqs,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2026,0.85
Singapore_Hqs,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2027,0.85
Singapore_Hqs,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2028,1
Singapore_Hqs,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2029,1
Singapore_Hqs,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2030,1
Singapore_Hqs,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2031,1
Singapore_Hqs,Transition,Policy & Legal,Increased pricing of GHG emissions,2,2032,1.1
Singapore_Hqs,Transition,Policy & Legal,Exposure to litigation,1,2018,0.48
Singapore_Hqs,Transition,Policy & Legal,Exposure to litigation,1,2019,0.48
Singapore_Hqs,Transition,Policy & Legal,Exposure to litigation,1,2020,0.52
Singapore_Hqs,Transition,Policy & Legal,Exposure to litigation,1,2021,0.6
Singapore_Hqs,Transition,Policy & Legal,Exposure to litigation,1,2022,0.6
Singapore_Hqs,Transition,Policy & Legal,Exposure to litigation,1,2023,0.6
Singapore_Hqs,Transition,Policy & Legal,Exposure to litigation,1,2024,0.68
Singapore_Hqs,Transition,Policy & Legal,Exposure to litigation,1,2025,0.68
